NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지,위도,경도
35,고경석정형외과의원,의원,02-408-0075,5764,"서울특별시 송파구 오금로 551, 208동 B02호 (거여동, e편한세상 송파 파크센트럴)",,37.4938204,127.1501461
36,이준규치과의원,치과의원,02-449-8004,5750,"서울특별시 송파구 성내천로 224, (마천동)",,37.4994391,127.1523282
37,송파수치과의원,치과의원,02-443-7528,5764,"서울특별시 송파구 오금로 551, 208동 207,208호 (거여동, e편한세상 송파 파크센트럴)",,37.4938204,127.1501461
38,더공감치과의원,치과의원,02-441-7528,5282,"서울특별시 강동구 구천면로 664, 2층 201호 (상일동)",,37.5507772,127.1717816
39,종로광명약국,약국,02-426-0787,5282,"서울특별시 강동구 구천면로 664, (상일동)",,37.5507772,127.1717816
40,강남의원,의원,02-408-7999,5758,"서울특별시 송파구 마천로51길 2, 2층 (마천동, 수정빌딩)",,37.4955212,127.1505264
41,마천행복한약국,약국,02-449-5982,5758,"서울특별시 송파구 마천로51길 2, 수정빌딩 (마천동)",,37.4955212,127.1505264
42,이창훈내과의원,의원,02-448-7577,5758,"서울특별시 송파구 마천로51길 2, (마천동, 3층 4층)",,37.4955212,127.1505264
43,윤한의원,한의원,02-431-2010,5746,"서울특별시 송파구 성내천로 211, 104동 103,104호 (마천동, 우방아파트)",,37.5004551,127.1520382
44,시온뷰티의원,의원,02-404-7727,5758,"서울특별시 송파구 마천로 311, (마천동, 2층&B1)",,37.4954581,127.150376
45,윤호약국,약국,02-400-0148,5758,"서울특별시 송파구 마천로 311, (마천동)",,37.4954581,127.150376
46,상일치과의원,치과의원,02-429-2923,5282,"서울특별시 강동구 구천면로 660, 2층 (상일동)",,37.5506952,127.1712273
47,동인당한의원,한의원,02-443-5512,5751,"서울특별시 송파구 마천로41길 25, 1,2층 (마천동)",,37.4970771,127.1504129
48,목차수내과의원,의원,02-3426-7010,5282,"서울특별시 강동구 구천면로 658, 3층 (상일동)",,37.5506537,127.1709517
49,일선당한의원,한의원,02-429-1310,5282,"서울특별시 강동구 구천면로 658, 2층 (상일동)",,37.5506537,127.1709517
50,서울용한치과의원,치과의원,02-407-2080,5768,"서울특별시 송파구 오금로 543, (거여동)",,37.4930449,127.1490407
51,송파센텀정형외과의원,의원,02-400-1191,5768,"서울특별시 송파구 오금로 543, 4층, 5층(거여동, 서평프라자) (거여동)",,37.4930449,127.1490407
52,이화힐약국,약국,070-8806-2998,5768,"서울특별시 송파구 오금로 543, 1층 (거여동)",,37.4930449,127.1490407
53,해피아이리스의원,의원,02-448-4892,5768,"서울특별시 송파구 오금로 543, 6층 (거여동)",,37.4930449,127.1490407
54,보성약국,약국,02-443-3532,5752,"서울특별시 송파구 성내천로 212, (마천동)",,37.5000157,127.1512123
55,새생명이현수내과의원,의원,02-430-2139,5752,"서울특별시 송파구 성내천로 212, 2층 (마천동)",,37.5000157,127.1512123
56,이계원치과의원,치과의원,02-430-2559,5752,"서울특별시 송파구 성내천로 212, 2층 (마천동)",,37.5000157,127.1512123
57,강일역1번출구약국,약국,02-3427-2225,5217,"서울특별시 강동구 고덕로 433, 1층 (강일동)",,37.5575129,127.1738776
58,서울이레소망치과의원,치과의원,02-429-2891,5217,"서울특별시 강동구 고덕로 433, 이레빌딩 302~303호 (강일동)",,37.5575129,127.1738776
59,이레정형외과의원,의원,02-481-5404,5217,"서울특별시 강동구 고덕로 433, 이레빌딩 4~5층 (강일동)",,37.5575129,127.1738776
60,한가족한의원,한의원,400-6996,5751,"서울특별시 송파구 마천로41길 21, (마천동,2층)",,37.4971274,127.1500588
61,김혜숙산부인과의원,의원,02-403-7300,5757,"서울특별시 송파구 마천로41길 22, (마천동)",,37.4969175,127.1499552
62,부부치과의원,치과의원,02-400-3782,5757,"서울특별시 송파구 마천로41길 22, (마천동)",,37.4969175,127.1499552
63,후생약국,약국,02-400-0614,5756,"서울특별시 송파구 마천로45길 15, (마천동)",,37.4974026,127.1500562
64,서울건우정형외과의원,의원,02-426-9876,5217,"서울특별시 강동구 고덕로 429, 2,3층 (강일동)",,37.5575025,127.1735035
65,남다른한의원,한의원,02-3402-0718,5852,"서울특별시 송파구 위례광장로 270, 2층 Y218호 (장지동, 송파와이즈더샵)",,37.4765219,127.1434373
66,굿모닝의원,의원,02-409-7576,5756,"서울특별시 송파구 마천로41길 20, (마천동, 2층)",www.gm-slim.com/,37.4969754,127.1496485
67,명문약국,약국,02-400-8216,5756,"서울특별시 송파구 마천로41길 20, 1층 (마천동)",,37.4969754,127.1496485
68,연세치과의원,치과의원,02-400-2963,5756,"서울특별시 송파구 마천로41길 20, 2층 (마천동)",,37.4969754,127.1496485
69,명가마취통증의학과의원,의원,02-429-0811,5285,"서울특별시 강동구 상일로12길 99, 4층 (상일제2동)",,37.5568528,127.1729373
70,서울미치과의원,치과의원,02-430-2828,5756,"서울특별시 송파구 마천로41길 17, 2층 (마천동)",,37.4972854,127.1496663
71,수하림한의원,한의원,02-408-1235,5756,"서울특별시 송파구 마천로41길 17, 2층 (마천동)",,37.4972854,127.1496663
72,중앙한의원,한의원,02-3012-5588,5756,"서울특별시 송파구 마천로45길 7, 101호 (마천동)",,37.4967896,127.1493996
73,강플러스내과의원,의원,02-400-8827,5757,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 2,3층 (마천동)",,37.4962786,127.1491977
74,이화온누리약국,약국,02-402-2671,5757,"서울특별시 송파구 마천로 295-1, 메디파크빌딩 (마천동)",,37.4962786,127.1491977
75,강동드림산부인과의원,의원,02-441-4567,5285,"서울특별시 강동구 상일로12길 97, (상일제2동)",,37.5568629,127.172652
76,김찬웅한의원,한의원,02-448-6457,5756,"서울특별시 송파구 마천로41길 15, 2층 (마천동)",,37.4973126,127.1493917
77,바로드림약국,약국,02-426-2956,5285,"서울특별시 강동구 상일로12길 97, 101호 (강일동)",,37.5568629,127.172652
78,서울천사치과의원,치과의원,02-704-2875,5756,"서울특별시 송파구 마천로41길 15, 2층 (마천동)",,37.4973126,127.1493917
79,마천한의원,한의원,02-406-7585,5756,"서울특별시 송파구 마천로41길 14, 1~3층 (마천동)",,37.497007,127.1490732
80,굿본재활의학과의원,의원,02-403-9300,5849,"서울특별시 송파구 위례광장로 230, 제상가3 제C동 2층 203,205,206호 (장지동, 위례2차아이파크)",,37.4800734,127.1437404
81,아이파크약국,약국,02-403-8275,5849,"서울특별시 송파구 위례광장로 230, B동 207호 (장지동, 위례2차아이파크)",,37.4800734,127.1437404
82,위례별한의원,한의원,02-402-5577,5849,"서울특별시 송파구 위례광장로 230, 1층 B-112호 (장지동, 위례2차아이파크)",,37.4800734,127.1437404
83,이루이비인후과의원,의원,02-406-2500,5849,"서울특별시 송파구 위례광장로 230, C동 201,202호 (장지동, 위례2차아이파크)",,37.4800734,127.1437404
84,남매약국,약국,02-407-8774,5773,"서울특별시 송파구 오금로64길 4, (거여동)",,37.4925648,127.1473285
85,미래안과의원,의원,02-430-7555,5756,"서울특별시 송파구 마천로41길 9, 2층 (마천동)",,37.497222,127.1487742
86,연세내과의원,의원,02-407-2692,5756,"서울특별시 송파구 마천로41길 9, 3층 (마천동)",,37.497222,127.1487742
87,옵티마100세약국,약국,02-448-4411,5756,"서울특별시 송파구 마천로41길 9, (마천동)",,37.497222,127.1487742
88,스타키즈소아청소년과의원,의원,02-431-3751,5852,"서울특별시 송파구 위례광장로 136, D동 201호 (장지동, 위례아이파크)",,37.476495,127.1422214
89,위례별가정의학과의원,의원,02-443-8275,5852,"서울특별시 송파구 위례광장로 136, 상가D동 202,203,204호 (장지동, 위례아이파크)",,37.476495,127.1422214
90,위례중앙치과의원,치과의원,02-431-2870,5852,"서울특별시 송파구 위례광장로 136, D-209,D-210호 (장지동, 위례아이파크)",,37.476495,127.1422214
91,트램온누리약국,약국,02-403-0020,5852,"서울특별시 송파구 위례광장로 136, E동 205층 (장지동, 위례아이파크)",,37.476495,127.1422214
92,평강한의원,한의원,02-457-7940,5852,"서울특별시 송파구 위례광장로 136, 에비뉴상가 D동 205~206호 (장지동, 위례아이파크)",http://www.soseng.kr/,37.476495,127.1422214
93,강남챔피언정형외과의원,의원,02-408-7575,5768,"서울특별시 송파구 오금로 525, 2~6층 (거여동)",https://champion88.modoo.at,37.4930833,127.1471218
94,셀메드거여약국,약국,02-402-0301,5768,"서울특별시 송파구 오금로 523, 1층 102호 (거여동)",,37.4930864,127.1469404
95,마천우리신경과의원,의원,02-430-1020,5756,"서울특별시 송파구 마천로41길 5, 자매빌딩 201호,202호 (마천동)",,37.4973379,127.1481429
96,강일약국,약국,02-426-8192,5210,"서울특별시 강동구 아리수로97길 19, 상가동 201호 (강일동, 강일리버파크)",,37.5670476,127.1760274
97,베스트연합의원,의원,02-449-3599,5756,"서울특별시 송파구 마천로 281, 지하1층,1층 (마천동)",,37.4971561,127.1480245
98,예흠소아청소년과의원,의원,429-8275,5210,"서울특별시 강동구 아리수로97길 19, (강일동, 강일리버파크4단지아파트)",,37.5670476,127.1760274
99,치아엔치과의원,치과의원,02-406-2275,5756,"서울특별시 송파구 마천로 281, 2층 (마천동, 이한영빌딩)",,37.4971561,127.1480245
100,기쁨약국,약국,02-401-7560,5849,"서울특별시 송파구 위례광장로 200, 101(일부),102호 (장지동, 에스비트램스퀘어)",,37.4812025,127.1429237
101,위키소아청소년과의원,의원,02-443-0075,5849,"서울특별시 송파구 위례광장로 200, (장지동, 에스비트램스퀘어)",,37.4812025,127.1429237
102,삼성맑은내과의원,의원,02-400-8877,5768,"서울특별시 송파구 오금로 519, 2층일부,3층 (거여동)",,37.4931588,127.1465438
103,킴스의원,의원,02-402-6555,5773,"서울특별시 송파구 오금로 518, 2~6층 (거여동)",http://www.kimsbest.net/index.asp,37.4927985,127.1463662
104,더튼튼플란트치과의원,치과의원,02-6486-2875,5755,"서울특별시 송파구 마천로41길 1, 3층 (마천동)",,37.4974251,127.1477889
105,송파하나약국,약국,070-8226-3999,5755,"서울특별시 송파구 마천로41길 1, 1층 (마천동)",,37.4974251,127.1477889
106,임한준한의원,한의원,02-430-5717,5755,"서울특별시 송파구 마천로41길 1, 2층 (마천동)",,37.4974251,127.1477889
107,강일서울산부인과의원,의원,02-428-0924,5211,"서울특별시 강동구 아리수로 427, (강일동)",,37.5649683,127.1746155
108,다온소아청소년과의원,의원,02-426-8270,5211,"서울특별시 강동구 아리수로 427, 504호 (강일동)",,37.5649683,127.1746155
109,더스킨피부과의원,의원,02-0000-0000,5211,"서울특별시 강동구 아리수로 427, 중앙프라자 2층 202호 (강일동)",,37.5649683,127.1746155
110,삼대한의원,한의원,02-486-3030,5211,"서울특별시 강동구 아리수로 427, 5층 501호 (강일동)",http://,37.5649683,127.1746155
111,서울더고운치과의원,치과의원,02-426-2804,5211,"서울특별시 강동구 아리수로 427, 중앙프라자 403~404호 (강일동)",,37.5649683,127.1746155
112,연세몸편한재활의학과의원,의원,02-481-0123,5211,"서울특별시 강동구 아리수로 427, 중앙프라자 6층 (강일동)",,37.5649683,127.1746155
113,위례선가정의학과의원,의원,02-431-8250,5849,"서울특별시 송파구 위례광장로 199, 성희프라자 4층 404~405호 (장지동)",,37.4817002,127.1427874
114,위례차차한의원,한의원,02-430-5575,5849,"서울특별시 송파구 위례광장로 199, 성희프라자 2층 201호 (장지동)",,37.4817002,127.1427874
115,코끼리이비인후과의원,의원,427-9275,5211,"서울특별시 강동구 아리수로 427, 603호 (강일동)",,37.5649683,127.1746155
116,효재한의원,한의원,02-449-1030,5773,"서울특별시 송파구 오금로 516, (거여동)",,37.4928173,127.1461745
117,연세스타치과의원,치과의원,02-430-7528,5849,"서울특별시 송파구 위례광장로 188, 6층 613호 (장지동)",http://www.udh.co.kr,37.4810773,127.1424444
118,위례포에버의원,의원,1522-8537,5849,"서울특별시 송파구 위례광장로 188, 601~604,622~624호 (장지동, 아이온스퀘어)",,37.4810773,127.1424444
119,위례해오름한의원,한의원,02-400-3977,5849,"서울특별시 송파구 위례광장로 188, 505,506,507호 (장지동, 아이온스퀘어)",,37.4810773,127.1424444
120,밝은하루치과의원,치과의원,02-6953-8528,5767,"서울특별시 송파구 거마로 56, 2층 (거여동, 송파시그니처롯데캐슬)",,37.4958289,127.1478304
121,우리스마트치과의원,치과의원,02-481-1275,5211,"서울특별시 강동구 아리수로 421, 301호 (강일동)",,37.5646372,127.1740839
122,참약국,약국,02-6952-7672,5211,"서울특별시 강동구 아리수로 421, MIDC빌딩 107호 (강일동)",,37.5646372,127.1740839
123,강일성모내과의원,의원,429-1212,5211,"서울특별시 강동구 아리수로93길 9, (강일동, 골드프라자 502)",,37.5652473,127.1743685
124,이튼치과의원,치과의원,02-442-2804,5211,"서울특별시 강동구 아리수로93길 9, 402,403호 (강일동, 골드프라자)",,37.5652473,127.1743685
125,해맑은한의원,한의원,02-442-1075,5211,"서울특별시 강동구 아리수로93길 9, 501호 (강일동)",,37.5652473,127.1743685
126,송파미소병원,정신병원,02-1661-9299,5768,"서울특별시 송파구 오금로 513, 위례빌딩 지하1~2층, 지상2~8층 (거여동)",,37.4932277,127.1458927
127,삼성드림소아청소년과의원,의원,02-442-0300,5275,"서울특별시 강동구 상일로 55, 고덕자이아파트상가동 201호 (상일동)",,37.5523798,127.1708829
128,코코약국,약국,02-441-7581,5275,"서울특별시 강동구 상일로 55, 202호 (상일동)",,37.5523798,127.1708829
129,나율한의원,한의원,02-430-7576,5849,"서울특별시 송파구 위례광장로 193, 303호 (장지동)",,37.4817473,127.1422043
130,위례봄치과의원,치과의원,02-3012-2828,5849,"서울특별시 송파구 위례광장로 193, 대길프라자 3층 (장지동)",,37.4817473,127.1422043
131,위례소소아청소년과의원,의원,02-403-1117,5849,"서울특별시 송파구 위례광장로 193, 3층 304호 (장지동, 대길프라자)",,37.4817473,127.1422043
132,위례푸른약국,약국,02-449-7478,5849,"서울특별시 송파구 위례광장로 193, 1층 (장지동)",,37.4817473,127.1422043
133,위례해솔정신건강의학과의원,의원,02-6959-7707,5849,"서울특별시 송파구 위례광장로 193, 대길프라자 604호 (장지동)",,37.4817473,127.1422043
134,순수 한약국,약국,426-4265,5211,"서울특별시 강동구 아리수로93길 19, 202호 (강일동)",,37.5653807,127.174118
135,나라한의원,한의원,02-3452-0600,5773,"서울특별시 송파구 오금로 512, 203호 (거여동, 쌍용아파트상가)",,37.4928771,127.145538
136,아산본정형외과의원,의원,02-430-2248,5773,"서울특별시 송파구 오금로 512, 2층 206호 (거여동, 거여역2차쌍용아파트)",,37.4928771,127.145538
137,연세홈치과의원,치과의원,02-430-9075,5773,"서울특별시 송파구 오금로 512, 2층 202호 (거여동, 쌍용상가)",,37.4928771,127.145538
138,오렌지정형외과의원,의원,02-409-6991,5755,"서울특별시 송파구 마천로 271, (마천동)",,37.4978159,127.147132
139,최은희소아과의원,의원,02-409-5577,5773,"서울특별시 송파구 오금로 512, (거여동, 2차쌍용APT상가 208호)",,37.4928771,127.145538
140,해피홈약국,약국,02-449-0113,5773,"서울특별시 송파구 오금로 512, 207호 (거여동, 거여역2차쌍용아파트 207호)",,37.4928771,127.145538
141,송파구제한의원,한의원,431-2325,5755,"서울특별시 송파구 거마로 72, 2층 (마천동)",,37.4990472,127.1473592
142,의료법인유투의료재단유투의원,의원,02-910-2100,5755,"서울특별시 송파구 거마로 68, (마천동)",,37.498818,127.1472826
143,네오플란트치과의원,치과의원,02-2265-5664,5222,"서울특별시 강동구 상일로 133, 2층 (고덕동)",,37.5588922,127.1708593
144,세계로약국,약국,02-402-0067,5755,"서울특별시 송파구 거마로 66, (마천동)",,37.4986781,127.147165
145,마천경희한의원,한의원,02-407-3883,5755,"서울특별시 송파구 거마로 62, 효명빌딩 3층 302호 (마천동)",,37.4984284,127.1470353
146,마천현대치과의원,치과의원,02-400-2802,5755,"서울특별시 송파구 거마로 62, 효명빌딩 (마천동)",,37.4984284,127.1470353
147,명약국,약국,02-407-8374,5755,"서울특별시 송파구 거마로 62, 효명빌딩 1층 (마천동)",,37.4984284,127.1470353
148,사랑안과의원,의원,02-6959-2060,5755,"서울특별시 송파구 거마로 62, 301호 (마천동)",http://www.allpurun.co.kr,37.4984284,127.1470353
149,서울이비인후과의원,의원,02-409-5227,5755,"서울특별시 송파구 거마로 62, 효명빌딩 4층 (마천동)",,37.4984284,127.1470353
150,연세정형외과의원,의원,02-404-1570,5755,"서울특별시 송파구 거마로 62, (마천동, 효명빌딩)",,37.4984284,127.1470353
151,둥지한의원,한의원,02-403-1088,5755,"서울특별시 송파구 거마로 60, 풍천빌딩 2층 (마천동)",,37.4982069,127.1469515
152,마천푸른솔약국,약국,02-409-6704,5755,"서울특별시 송파구 거마로 60, 1층 (마천동)",,37.4982069,127.1469515
153,고덕아이온소아치과치과의원,치과의원,02-428-5328,5222,"서울특별시 강동구 고덕로 399, 메가스퀘어상가동 229~230호 (고덕동, 고덕센트럴푸르지오)",,37.5577308,127.1701747
154,금단미인한의원,한의원,031-708-1775,5222,"서울특별시 강동구 고덕로 399, B124호 (고덕동, 고덕센트럴푸르지오)",,37.5577308,127.1701747
155,서울더편한치과의원,치과의원,02-6951-2822,5222,"서울특별시 강동구 고덕로 399, 메가스퀘어상가동 2층 206~207호 (고덕동, 고덕센트럴푸르지오)",,37.5577308,127.1701747
156,서울정의원,의원,02-3427-3545,5222,"서울특별시 강동구 고덕로 399, 1동 216호 (고덕동, 고덕센트럴푸르지오)",,37.5577308,127.1701747
157,센트럴성모치과의원,치과의원,02-1670-5650,5222,"서울특별시 강동구 고덕로 399, 메가스퀘어상가동 227~228호 (고덕동, 고덕센트럴푸르지오)",,37.5577308,127.1701747
158,건강플러스약국,약국,02-427-8056,5211,"서울특별시 강동구 아리수로93길 27, 108호 (강일동, 강일타워)",,37.5656316,127.1738307
159,드림팜약국,약국,02-441-7582,5211,"서울특별시 강동구 아리수로93길 27, 405-1호 (강일동)",,37.5656316,127.1738307
160,메디팜강일약국,약국,,5211,"서울특별시 강동구 아리수로93길 27, 강일타워 106호 (강일동)",,37.5656316,127.1738307
161,진플러스치과의원,치과의원,02-475-2879,5211,"서울특별시 강동구 아리수로93길 27, (강일동)",https://blog.naver.com/jinplusden,37.5656316,127.1738307
162,김기우내과의원,의원,02-408-7107,5768,"서울특별시 송파구 오금로 507, (거여동, 2층)",,37.4932394,127.1451931
163,노바피부과의원,의원,02-449-2430,5768,"서울특별시 송파구 오금로 507, 5층 (거여동)",,37.4932394,127.1451931
164,도영약국,약국,02-404-7355,5768,"서울특별시 송파구 오금로 507, 거여빌딩 1층 (거여동)",,37.4932394,127.1451931
165,서울플러스치과의원,치과의원,02-401-3675,5768,"서울특별시 송파구 오금로 507, 2층 (거여동)",,37.4932394,127.1451931
166,연세SM피부과의원,의원,02-3461-8275,5768,"서울특별시 송파구  오금로 507, (거여동)",,37.4932394,127.1451931
167,이브여성의원,의원,02-3402-3378,5768,"서울특별시 송파구 오금로 507, (거여동, 거여빌딩 401호)",,37.4932394,127.1451931
168,참마취통증의학과의원,의원,02-2043-1717,5768,"서울특별시 송파구 오금로 507, 4층 402호 (거여동, 거여빌딩)",,37.4932394,127.1451931
169,삼성항외과의원,의원,02-2043-7175,5773,"서울특별시 송파구 오금로 508, (거여동, 2층)",http://www.hemohospital.com/index.asp,37.4928695,127.1450623
170,스마트약국,약국,02-400-0998,5773,"서울특별시 송파구 오금로 508, 스타빌딩 1층 101호 (거여동)",,37.4928695,127.1450623
171,우비뇨기과의원,의원,02-404-7220,5773,"서울특별시 송파구 오금로 508, (거여동, 3층)",,37.4928695,127.1450623
172,거여연세치과의원,치과의원,02-409-2670,5773,"서울특별시 송파구 오금로 506, 4층 (거여동, 일동빌딩)",,37.4929177,127.1449346
173,그랜드피부과의원,의원,02-408-0345,5773,"서울특별시 송파구 오금로 506, (거여동, 일동빌딩 5층)",,37.4929177,127.1449346
174,하나의원,의원,02-404-9879,5773,"서울특별시 송파구 오금로 506, (거여동, 3층)",,37.4929177,127.1449346
175,아미치과의원,치과의원,02-431-2828,5768,"서울특별시 송파구 거마로 28, 2층 201호 (거여동)",,37.4954206,127.1457022
176,아산선가정의학과의원,의원,02-400-7582,5768,"서울특별시 송파구 거마로 28, 301호 (거여동)",,37.4954206,127.1457022
177,예성온누리약국,약국,02-401-2989,5768,"서울특별시 송파구 거마로 28, 102호 (거여동)",,37.4954206,127.1457022
178,온누리봄빛약국,약국,02-431-0419,5773,"서울특별시 송파구 양산로10길 4, (거여동)",,37.4925501,127.1447582
179,거여서울약국,약국,02-2043-3800,5768,"서울특별시 송파구 오금로 505, (거여동, 101호)",,37.4932219,127.1449105
180,서울강안과의원,의원,02-3401-8383,5768,"서울특별시 송파구 오금로 505, (거여동, 201호)",http://www.kangeye.co.kr/,37.4932219,127.1449105
181,서울아산샘내과의원,의원,02-431-0075,5768,"서울특별시 송파구 오금로 505, 상호빌딩 4층 401호,402호 (거여동)",http://www.samclinic.co.kr/index.asp,37.4932219,127.1449105
182,연세재활의학과의원,의원,02-400-8275,5768,"서울특별시 송파구 오금로 505, 2층 (거여동, 상호빌딩)",,37.4932219,127.1449105
183,이조은치과의원,치과의원,02-406-0028,5768,"서울특별시 송파구 오금로 505, 3층 (거여동)",,37.4932219,127.1449105
184,연세우주아이정치과의원,치과의원,02-427-4590,5211,"서울특별시 강동구 아리수로93길 33, 베스트프라자 301호 (강일동)",,37.5659078,127.1735545
185,연세우주치과의원,치과의원,02-427-8274,5211,"서울특별시 강동구 아리수로93길 33, 베스트프라자 4층 1,2호 (강일동)",,37.5659078,127.1735545
186,위례양치과의원,치과의원,02-6010-1675,5790,"서울특별시 송파구 위례송파로 77, 603 604호 (거여동)",,37.4854429,127.142453
187,굿플란트치과의원,치과의원,02-430-9998,5768,"서울특별시 송파구 거마로 4, 4,5,6층 (거여동)[*미고시]",,37.4933543,127.14486
188,연세하늘안과의원,의원,02-6415-5000,5768,"서울특별시 송파구 거마로 4, 굿플란트빌딩 2층 (거여동)",,37.4933543,127.14486
189,유이비인후과의원,의원,02-431-4381,5768,"서울특별시 송파구 거마로 4, 굿플란트빌딩 3층 (거여동)",,37.4933543,127.14486
190,이화제니약국,약국,02-430-2001,5768,"서울특별시 송파구 거마로 4, 102호 (거여동)",,37.4933543,127.14486
191,서울송파한의원,한의원,02-430-8875,5768,"서울특별시 송파구 거마로 12, 상형빌딩 3층 (거여동)",,37.493911,127.1450199
192,경희홍한의원,한의원,02-443-6576,5773,"서울특별시 송파구 오금로 504, 하나빌딩 (거여동)",,37.4928623,127.1446697
193,김학원소아과의원,의원,02-407-0775,5773,"서울특별시 송파구 오금로 504, (거여동)",,37.4928623,127.1446697
194,신재식마취통증의학과의원,의원,02-407-7590,5773,"서울특별시 송파구 오금로 504, (거여동)",,37.4928623,127.1446697
