NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
89,위례별가정의학과의원,의원,02-443-8275,05852,"서울특별시 송파구 위례광장로 136, 상가D동 202,203,204호 (장지동, 위례아이파크)",
90,위례중앙치과의원,치과의원,02-431-2870,05852,"서울특별시 송파구 위례광장로 136, D-209,D-210호 (장지동, 위례아이파크)",
91,트램온누리약국,약국,02-403-0020,05852,"서울특별시 송파구 위례광장로 136, E동 205층 (장지동, 위례아이파크)",
92,평강한의원,한의원,02-457-7940,05852,"서울특별시 송파구 위례광장로 136, 에비뉴상가 D동 205~206호 (장지동, 위례아이파크)",http://www.soseng.kr/
93,강남챔피언정형외과의원,의원,02-408-7575,05768,"서울특별시 송파구 오금로 525, 2~6층 (거여동)",https://champion88.modoo.at
94,셀메드거여약국,약국,02-402-0301,05768,"서울특별시 송파구 오금로 523, 1층 102호 (거여동)",
95,마천우리신경과의원,의원,02-430-1020,05756,"서울특별시 송파구 마천로41길 5, 자매빌딩 201호,202호 (마천동)",
96,강일약국,약국,02-426-8192,05210,"서울특별시 강동구 아리수로97길 19, 상가동 201호 (강일동, 강일리버파크)",
97,베스트연합의원,의원,02-449-3599,05756,"서울특별시 송파구 마천로 281, 지하1층,1층 (마천동)",
98,예흠소아청소년과의원,의원,429-8275,05210,"서울특별시 강동구 아리수로97길 19, (강일동, 강일리버파크4단지아파트)",
99,치아엔치과의원,치과의원,02-406-2275,05756,"서울특별시 송파구 마천로 281, 2층 (마천동, 이한영빌딩)",
100,기쁨약국,약국,02-401-7560,05849,"서울특별시 송파구 위례광장로 200, 101(일부),102호 (장지동, 에스비트램스퀘어)",
101,위키소아청소년과의원,의원,02-443-0075,05849,"서울특별시 송파구 위례광장로 200, (장지동, 에스비트램스퀘어)",
102,삼성맑은내과의원,의원,02-400-8877,05768,"서울특별시 송파구 오금로 519, 2층일부,3층 (거여동)",
103,킴스의원,의원,02-402-6555,05773,"서울특별시 송파구 오금로 518, 2~6층 (거여동)",http://www.kimsbest.net/index.asp
104,더튼튼플란트치과의원,치과의원,02-6486-2875,05755,"서울특별시 송파구 마천로41길 1, 3층 (마천동)",
105,송파하나약국,약국,070-8226-3999,05755,"서울특별시 송파구 마천로41길 1, 1층 (마천동)",
106,임한준한의원,한의원,02-430-5717,05755,"서울특별시 송파구 마천로41길 1, 2층 (마천동)",
107,강일서울산부인과의원,의원,02-428-0924,05211,"서울특별시 강동구 아리수로 427, (강일동)",
108,다온소아청소년과의원,의원,02-426-8270,05211,"서울특별시 강동구 아리수로 427, 504호 (강일동)",
109,더스킨피부과의원,의원,02-0000-0000,05211,"서울특별시 강동구 아리수로 427, 중앙프라자 2층 202호 (강일동)",
110,삼대한의원,한의원,02-486-3030,05211,"서울특별시 강동구 아리수로 427, 5층 501호 (강일동)",http://
111,서울더고운치과의원,치과의원,02-426-2804,05211,"서울특별시 강동구 아리수로 427, 중앙프라자 403~404호 (강일동)",
112,연세몸편한재활의학과의원,의원,02-481-0123,05211,"서울특별시 강동구 아리수로 427, 중앙프라자 6층 (강일동)",
113,위례선가정의학과의원,의원,02-431-8250,05849,"서울특별시 송파구 위례광장로 199, 성희프라자 4층 404~405호 (장지동)",
114,위례차차한의원,한의원,02-430-5575,05849,"서울특별시 송파구 위례광장로 199, 성희프라자 2층 201호 (장지동)",
115,코끼리이비인후과의원,의원,427-9275,05211,"서울특별시 강동구 아리수로 427, 603호 (강일동)",
116,효재한의원,한의원,02-449-1030,05773,"서울특별시 송파구 오금로 516, (거여동)",
117,연세스타치과의원,치과의원,02-430-7528,05849,"서울특별시 송파구 위례광장로 188, 6층 613호 (장지동)",http://www.udh.co.kr
118,위례포에버의원,의원,1522-8537,05849,"서울특별시 송파구 위례광장로 188, 601~604,622~624호 (장지동, 아이온스퀘어)",
119,위례해오름한의원,한의원,02-400-3977,05849,"서울특별시 송파구 위례광장로 188, 505,506,507호 (장지동, 아이온스퀘어)",
120,밝은하루치과의원,치과의원,02-6953-8528,05767,"서울특별시 송파구 거마로 56, 2층 (거여동, 송파시그니처롯데캐슬)",
121,우리스마트치과의원,치과의원,02-481-1275,05211,"서울특별시 강동구 아리수로 421, 301호 (강일동)",
122,참약국,약국,02-6952-7672,05211,"서울특별시 강동구 아리수로 421, MIDC빌딩 107호 (강일동)",
123,강일성모내과의원,의원,429-1212,05211,"서울특별시 강동구 아리수로93길 9, (강일동, 골드프라자 502)",
124,이튼치과의원,치과의원,02-442-2804,05211,"서울특별시 강동구 아리수로93길 9, 402,403호 (강일동, 골드프라자)",
125,해맑은한의원,한의원,02-442-1075,05211,"서울특별시 강동구 아리수로93길 9, 501호 (강일동)",
126,송파미소병원,정신병원,02-1661-9299,05768,"서울특별시 송파구 오금로 513, 위례빌딩 지하1~2층, 지상2~8층 (거여동)",
127,삼성드림소아청소년과의원,의원,02-442-0300,05275,"서울특별시 강동구 상일로 55, 고덕자이아파트상가동 201호 (상일동)",
128,코코약국,약국,02-441-7581,05275,"서울특별시 강동구 상일로 55, 202호 (상일동)",
129,나율한의원,한의원,02-430-7576,05849,"서울특별시 송파구 위례광장로 193, 303호 (장지동)",
130,위례봄치과의원,치과의원,02-3012-2828,05849,"서울특별시 송파구 위례광장로 193, 대길프라자 3층 (장지동)",
131,위례소소아청소년과의원,의원,02-403-1117,05849,"서울특별시 송파구 위례광장로 193, 3층 304호 (장지동, 대길프라자)",
132,위례푸른약국,약국,02-449-7478,05849,"서울특별시 송파구 위례광장로 193, 1층 (장지동)",
133,위례해솔정신건강의학과의원,의원,02-6959-7707,05849,"서울특별시 송파구 위례광장로 193, 대길프라자 604호 (장지동)",
134,순수 한약국,약국,426-4265,05211,"서울특별시 강동구 아리수로93길 19, 202호 (강일동)",
135,나라한의원,한의원,02-3452-0600,05773,"서울특별시 송파구 오금로 512, 203호 (거여동, 쌍용아파트상가)",
136,아산본정형외과의원,의원,02-430-2248,05773,"서울특별시 송파구 오금로 512, 2층 206호 (거여동, 거여역2차쌍용아파트)",
137,연세홈치과의원,치과의원,02-430-9075,05773,"서울특별시 송파구 오금로 512, 2층 202호 (거여동, 쌍용상가)",
138,오렌지정형외과의원,의원,02-409-6991,05755,"서울특별시 송파구 마천로 271, (마천동)",
139,최은희소아과의원,의원,02-409-5577,05773,"서울특별시 송파구 오금로 512, (거여동, 2차쌍용APT상가 208호)",
140,해피홈약국,약국,02-449-0113,05773,"서울특별시 송파구 오금로 512, 207호 (거여동, 거여역2차쌍용아파트 207호)",
141,송파구제한의원,한의원,431-2325,05755,"서울특별시 송파구 거마로 72, 2층 (마천동)",
142,의료법인유투의료재단유투의원,의원,02-910-2100,05755,"서울특별시 송파구 거마로 68, (마천동)",
143,네오플란트치과의원,치과의원,02-2265-5664,05222,"서울특별시 강동구 상일로 133, 2층 (고덕동)",
144,세계로약국,약국,02-402-0067,05755,"서울특별시 송파구 거마로 66, (마천동)",
145,마천경희한의원,한의원,02-407-3883,05755,"서울특별시 송파구 거마로 62, 효명빌딩 3층 302호 (마천동)",
146,마천현대치과의원,치과의원,02-400-2802,05755,"서울특별시 송파구 거마로 62, 효명빌딩 (마천동)",
147,명약국,약국,02-407-8374,05755,"서울특별시 송파구 거마로 62, 효명빌딩 1층 (마천동)",
148,사랑안과의원,의원,02-6959-2060,05755,"서울특별시 송파구 거마로 62, 301호 (마천동)",http://www.allpurun.co.kr
149,서울이비인후과의원,의원,02-409-5227,05755,"서울특별시 송파구 거마로 62, 효명빌딩 4층 (마천동)",
150,연세정형외과의원,의원,02-404-1570,05755,"서울특별시 송파구 거마로 62, (마천동, 효명빌딩)",
151,둥지한의원,한의원,02-403-1088,05755,"서울특별시 송파구 거마로 60, 풍천빌딩 2층 (마천동)",
152,마천푸른솔약국,약국,02-409-6704,05755,"서울특별시 송파구 거마로 60, 1층 (마천동)",
153,고덕아이온소아치과치과의원,치과의원,02-428-5328,05222,"서울특별시 강동구 고덕로 399, 메가스퀘어상가동 229~230호 (고덕동, 고덕센트럴푸르지오)",
154,금단미인한의원,한의원,031-708-1775,05222,"서울특별시 강동구 고덕로 399, B124호 (고덕동, 고덕센트럴푸르지오)",
155,서울더편한치과의원,치과의원,02-6951-2822,05222,"서울특별시 강동구 고덕로 399, 메가스퀘어상가동 2층 206~207호 (고덕동, 고덕센트럴푸르지오)",
156,서울정의원,의원,02-3427-3545,05222,"서울특별시 강동구 고덕로 399, 1동 216호 (고덕동, 고덕센트럴푸르지오)",
157,센트럴성모치과의원,치과의원,02-1670-5650,05222,"서울특별시 강동구 고덕로 399, 메가스퀘어상가동 227~228호 (고덕동, 고덕센트럴푸르지오)",
158,건강플러스약국,약국,02-427-8056,05211,"서울특별시 강동구 아리수로93길 27, 108호 (강일동, 강일타워)",
159,드림팜약국,약국,02-441-7582,05211,"서울특별시 강동구 아리수로93길 27, 405-1호 (강일동)",
160,메디팜강일약국,약국,,05211,"서울특별시 강동구 아리수로93길 27, 강일타워 106호 (강일동)",
161,진플러스치과의원,치과의원,02-475-2879,05211,"서울특별시 강동구 아리수로93길 27, (강일동)",https://blog.naver.com/jinplusden
162,김기우내과의원,의원,02-408-7107,05768,"서울특별시 송파구 오금로 507, (거여동, 2층)",
163,노바피부과의원,의원,02-449-2430,05768,"서울특별시 송파구 오금로 507, 5층 (거여동)",
164,도영약국,약국,02-404-7355,05768,"서울특별시 송파구 오금로 507, 거여빌딩 1층 (거여동)",
165,서울플러스치과의원,치과의원,02-401-3675,05768,"서울특별시 송파구 오금로 507, 2층 (거여동)",
166,연세SM피부과의원,의원,02-3461-8275,05768,"서울특별시 송파구  오금로 507, (거여동)",
167,이브여성의원,의원,02-3402-3378,05768,"서울특별시 송파구 오금로 507, (거여동, 거여빌딩 401호)",
168,참마취통증의학과의원,의원,02-2043-1717,05768,"서울특별시 송파구 오금로 507, 4층 402호 (거여동, 거여빌딩)",
169,삼성항외과의원,의원,02-2043-7175,05773,"서울특별시 송파구 오금로 508, (거여동, 2층)",http://www.hemohospital.com/index.asp
170,스마트약국,약국,02-400-0998,05773,"서울특별시 송파구 오금로 508, 스타빌딩 1층 101호 (거여동)",
171,우비뇨기과의원,의원,02-404-7220,05773,"서울특별시 송파구 오금로 508, (거여동, 3층)",
172,거여연세치과의원,치과의원,02-409-2670,05773,"서울특별시 송파구 오금로 506, 4층 (거여동, 일동빌딩)",
173,그랜드피부과의원,의원,02-408-0345,05773,"서울특별시 송파구 오금로 506, (거여동, 일동빌딩 5층)",
174,하나의원,의원,02-404-9879,05773,"서울특별시 송파구 오금로 506, (거여동, 3층)",
175,아미치과의원,치과의원,02-431-2828,05768,"서울특별시 송파구 거마로 28, 2층 201호 (거여동)",
176,아산선가정의학과의원,의원,02-400-7582,05768,"서울특별시 송파구 거마로 28, 301호 (거여동)",
177,예성온누리약국,약국,02-401-2989,05768,"서울특별시 송파구 거마로 28, 102호 (거여동)",
178,온누리봄빛약국,약국,02-431-0419,05773,"서울특별시 송파구 양산로10길 4, (거여동)",
179,거여서울약국,약국,02-2043-3800,05768,"서울특별시 송파구 오금로 505, (거여동, 101호)",
180,서울강안과의원,의원,02-3401-8383,05768,"서울특별시 송파구 오금로 505, (거여동, 201호)",http://www.kangeye.co.kr/
181,서울아산샘내과의원,의원,02-431-0075,05768,"서울특별시 송파구 오금로 505, 상호빌딩 4층 401호,402호 (거여동)",http://www.samclinic.co.kr/index.asp
182,연세재활의학과의원,의원,02-400-8275,05768,"서울특별시 송파구 오금로 505, 2층 (거여동, 상호빌딩)",
183,이조은치과의원,치과의원,02-406-0028,05768,"서울특별시 송파구 오금로 505, 3층 (거여동)",
184,연세우주아이정치과의원,치과의원,02-427-4590,05211,"서울특별시 강동구 아리수로93길 33, 베스트프라자 301호 (강일동)",
185,연세우주치과의원,치과의원,02-427-8274,05211,"서울특별시 강동구 아리수로93길 33, 베스트프라자 4층 1,2호 (강일동)",
186,위례양치과의원,치과의원,02-6010-1675,05790,"서울특별시 송파구 위례송파로 77, 603 604호 (거여동)",
187,굿플란트치과의원,치과의원,02-430-9998,05768,"서울특별시 송파구 거마로 4, 4,5,6층 (거여동)[*미고시]",
188,연세하늘안과의원,의원,02-6415-5000,05768,"서울특별시 송파구 거마로 4, 굿플란트빌딩 2층 (거여동)",
189,유이비인후과의원,의원,02-431-4381,05768,"서울특별시 송파구 거마로 4, 굿플란트빌딩 3층 (거여동)",
190,이화제니약국,약국,02-430-2001,05768,"서울특별시 송파구 거마로 4, 102호 (거여동)",
191,서울송파한의원,한의원,02-430-8875,05768,"서울특별시 송파구 거마로 12, 상형빌딩 3층 (거여동)",
192,경희홍한의원,한의원,02-443-6576,05773,"서울특별시 송파구 오금로 504, 하나빌딩 (거여동)",
193,김학원소아과의원,의원,02-407-0775,05773,"서울특별시 송파구 오금로 504, (거여동)",
194,신재식마취통증의학과의원,의원,02-407-7590,05773,"서울특별시 송파구 오금로 504, (거여동)",
195,우리치과의원,치과의원,02-431-3753,05773,"서울특별시 송파구 오금로 504, 4층 (거여동, 경원빌딩)",
196,유당한의원,한의원,408-3800,05773,"서울특별시 송파구 오금로 504, 2층 (거여동, 하나메디칼크리닉빌딩)",
197,정비뇨의학과의원,의원,02-431-9990,05773,"서울특별시 송파구 오금로 504, 하나빌딩 3층 (거여동)",
198,거여서울치과의원,치과의원,02-431-0119,05735,"서울특별시 송파구 거마로 55, 2층 (거여동)",
199,강지혜소아청소년과의원,의원,02-430-3150,05734,"서울특별시 송파구 거마로 61, 401호 (마천동, 한스어반타워)",
200,마천서울내과의원,의원,02-408-8119,05734,"서울특별시 송파구 거마로 61, 강동중앙의원 2층 (마천동)",
201,송파다인치과의원,치과의원,02-3012-2875,05734,"서울특별시 송파구 거마로 61, 402호 (마천동, 한스어반타워)",
202,송파민이비인후과의원,의원,02-406-5075,05734,"서울특별시 송파구 거마로 61, 301호 (마천동)",
203,수프라자약국,약국,02-443-7727,05734,"서울특별시 송파구 거마로 61, 1층 (마천동, 강동중앙의원)",
204,차두천마취통증의학과의원,의원,02-449-9463,05734,"서울특별시 송파구 거마로 61, 강동중앙의원 302호 (마천동)",
205,거여경희한의원,한의원,02-406-3375,05773,"서울특별시 송파구 양산로 42, 2층 (거여동, 성보빌딩)",
206,김철우내과의원,의원,02-407-4202,05773,"서울특별시 송파구 양산로 42, (거여동, 2층)",www.kimsmedical.co.kr/
207,서울안과의원,의원,02-409-1175,05773,"서울특별시 송파구 양산로 42, 3층 (거여동)",
208,성모행복정신건강의학과의원,의원,02-6930-5777,05773,"서울특별시 송파구 양산로 42, 성보빌딩 3층 (거여동)",
209,코코이비인후과의원,의원,02-449-5075,05773,"서울특별시 송파구 양산로 42, 4층 (거여동)",
210,행복약국,약국,02-403-4888,05773,"서울특별시 송파구 양산로 42, (거여동)",
211,서울열린치과의원,치과의원,02-409-2879,05773,"서울특별시 송파구 양산로 38, 5층 (거여동)",
212,화인신경외과의원,의원,02-6229-5000,05773,"서울특별시 송파구 양산로 38, 2,3층 (거여동)",
213,동네치과의원,치과의원,02-408-3336,05734,"서울특별시 송파구 마천로 263, 4층 (마천동)",
214,경희진심한의원,한의원,02-402-7790,05787,"서울특별시 송파구 양산로 12, 세신거여훼미리타운 201~204호 (거여동)",
215,소백약국,약국,02-400-8805,05787,"서울특별시 송파구 양산로 12, 세신거여훼미리타운 1층 107호 (거여동)",
216,아산현소아청소년과의원,의원,02-406-0407,05787,"서울특별시 송파구 양산로 12, (거여동, 거여세신훼미리타운)",
217,뉴서울정형외과의원,의원,02-448-8680,05735,"서울특별시 송파구 거마로 49, 초림빌딩 (거여동)",
218,고영근비뇨기과의원,의원,02-408-2177,05735,"서울특별시 송파구 마천로 264, 4층 (거여동, 흥일빌딩)",
219,단단치과의원,치과의원,02-400-0079,05773,"서울특별시 송파구 양산로 40, 드림빌딩 3층 (거여동)",
220,바른몸재활의학과의원,의원,02-459-7575,05773,"서울특별시 송파구 양산로 40, 401,501호 (거여동)",
221,샘물약국,약국,02-3402-0415,05735,"서울특별시 송파구 마천로 264, 흥일빌딩 1층 (거여동)",
222,서울더좋은치과의원,치과의원,02-401-2279,05735,"서울특별시 송파구 마천로 264, 흥일빌딩 2층 (거여동)",
223,송파365한의원,한의원,02-404-8875,05735,"서울특별시 송파구 마천로 264, 흥일빌딩 301호 (거여동)",
224,인성정신건강의학과의원,의원,02-430-6251,05735,"서울특별시 송파구 마천로 264, 4층 (거여동, 흥일빌딩)",
225,행복한서내과의원,의원,02-443-7826,05735,"서울특별시 송파구 마천로 264, 2층 3호 (거여동, 흥일빌딩)",
226,높은덕치과의원,치과의원,02-6959-2494,05274,"서울특별시 강동구 고덕로 390, 고덕아르테온아파트(상가1동) 205,206,207호 (상일동)",
227,모주현약국,약국,,05274,"서울특별시 강동구 고덕로 390, 고덕아르테온아파트(상가1동) 2층 204호 (상일동)",
228,문앤장내과의원,의원,02-6479-8275,05274,"서울특별시 강동구 고덕로 390, 고덕아르테온아파트(상가1동) 2층 209,211,212호 (상일제1동)",
229,강일바른내과의원,의원,02-3427-5507,05415,"서울특별시 강동구 아리수로93나길 80, 성산타워2 405~410호 (강일동)",
230,비안채한의원,한의원,02-741-2121,05415,"서울특별시 강동구 아리수로93나길 80, 성산타워2 201호 (강일동)",
231,비전약국,약국,02-6478-7388,05415,"서울특별시 강동구 아리수로93나길 80, 성산타워2 108호 (강일동)",
232,온빛치과의원,치과의원,02-428-2879,05415,"서울특별시 강동구 아리수로93나길 80, 성산타워2 3층 (강일동)",
