NO,병원/약국명,병원/약국구분,전화번호,우편번호,소재지주소,홈페이지
185,우리내과의원,의원,466-4339,21540,"인천광역시 남동구 인주대로 865, 3층 일부호 (만수동, 승창빌딩)",
186,한마음산부인과의원,의원,032-467-3687,21540,"인천광역시 남동구 인주대로 865, 2층 (만수동, 승창빌딩)",
187,에코메트로약국,약국,426-6789,21684,"인천광역시 남동구 에코중앙로156번길 5-23, 1층 (논현동, 에코그린타워1)",
188,열린이비인후과의원,의원,435-7585,21684,"인천광역시 남동구 에코중앙로156번길 5-23, 2층, 3층 (논현동)",
189,국승민한의원,한의원,463-1088,21521,"인천광역시 남동구 만수로 71, 2층 (만수동)",
190,바른공감치과의원,치과의원,032-219-2882,21521,"인천광역시 남동구 만수로 71, 내제1호동 3,4층 (만수동)",
191,연세차치과의원,치과의원,032-463-9692,21521,"인천광역시 남동구 만수로 71, (만수동)",
192,신이화약국,약국,424-3339,21684,"인천광역시 남동구 에코중앙로156번길 5-12, 1층 (논현동)",
193,인사랑내과의원,의원,765-8275,21684,"인천광역시 남동구 에코중앙로156번길 5-12, 201호 (논현동, 효성빌딩)",
194,참조은내과의원,의원,032-446-1273,21684,"인천광역시 남동구 에코중앙로156번길 5-19, 2층 (논현동)",
195,박재홍내과의원,의원,032-465-0500,21540,"인천광역시 남동구 인주대로 861, (만수동)",
196,영신약국,약국,070-8804-3962,21540,"인천광역시 남동구 인주대로 861, (만수동, 1층일부)",
197,에코올리브치과의원,치과의원,032-438-2882,21684,"인천광역시 남동구 에코중앙로156번길 5-15, 2층 (논현동)",
198,에코한의원,한의원,426-1325,21684,"인천광역시 남동구 에코중앙로156번길 5-15, 301호 (논현동)",
199,이상규한의원,한의원,032-518-5985,21402,"인천광역시 부평구 수변로 56-1, (부개동)",
200,데이빗연세아르미안치과의원,치과의원,032-508-8692,21402,"인천광역시 부평구 수변로 40-1, 1층~4층 (부개동, 송신빌딩)",
201,다정한약국,약국,032-526-5047,21402,"인천광역시 부평구 수변로 74, 102호 (부개동, 삼성타운)",
202,정준가정의학과의원,의원,032-506-7975,21402,"인천광역시 부평구 수변로 74, (부개동)",
203,튼튼한연세치과의원,치과의원,032-502-2275,21402,"인천광역시 부평구 수변로 74, 2층 201호 (부개동, 삼성아파트)",
204,만수성심외과의원,의원,471-2546,21524,"인천광역시 남동구 만수로 65, 2층 (만수동, 훈정빌딩)",
205,아침을여는세명약국,약국,032-467-6216,21524,"인천광역시 남동구 만수로 65, (만수동)",
206,초당한의원,한의원,461-8756,21524,"인천광역시 남동구 만수로 65, (만수동)",
207,그린팜우리약국,약국,442-8007,21645,"인천광역시 남동구 논고개로 325, 1층 (도림동)",
208,늘푸른내과의원,의원,032-441-0096,21645,"인천광역시 남동구 논고개로 325, 3층 (도림동, 명례빌딩)",
209,도림열린치과의원,치과의원,032-421-2875,21645,"인천광역시 남동구 논고개로 325, 201호 (도림동, 명례빌딩)",
210,세민약국,약국,032-512-5632,21402,"인천광역시 부평구 수변로 64, (부개동)",
211,복한의원,한의원,032-208-7575,21398,"인천광역시 부평구 수변로 81, 1층 (부개동)",
212,가산메디칼약국,약국,438-7722,21679,"인천광역시 남동구 논고개로 71, 108호 (논현동, 가산타워)",
213,다인약국,약국,032-521-8301,21416,"인천광역시 부평구 수변로 8, 106호 (부개동, 파워프라자)",
214,리앤아이산부인과의원,의원,270-7777,21679,"인천광역시 남동구 논고개로 71, 301~303호,401~403호,503호일부호 (논현동, 가산타워 )",
215,박현수정형외과의원,의원,032-507-6222,21416,"인천광역시 부평구 수변로 8, 202,204,205,206호 (부개동, 파워프라자)",
216,에덴여성의원,의원,032-519-8582,21420,"인천광역시 부평구 경인로 1078, (부개동)",
217,연세이지치과의원,치과의원,032-517-2824,21416,"인천광역시 부평구 수변로 8, 파워프라자 3층 303호 (부개동)",
218,예인병원,정신병원,426-1800,21679,"인천광역시 남동구 논고개로 71, 가산타워 7~10층 1001,1002호 (논현동)",
219,인천평화의료복지사회적협동조합평화치과의원,치과의원,032-362-2875,21416,"인천광역시 부평구 수변로 8, 203호 (부개동, 파워프라자)",
220,만수한의원,한의원,032-463-7511,21524,"인천광역시 남동구 만수로 63, (만수동, 만수프라자201호)",
221,성모치과의원,치과의원,032-464-2876,21524,"인천광역시 남동구 만수로 63, 302호 (만수동)",
222,소화소아청소년과의원,의원,032-464-7575,21524,"인천광역시 남동구 만수로 63, 303,304호 (만수동, 만수프라자)",
223,은하약국,약국,032-466-8931,21524,"인천광역시 남동구 만수로 63, 만수 쎈타 플라자 101-2호 (만수동)",
224,부개약국,약국,032-529-8721,21420,"인천광역시 부평구 경인로 1076, (부개동)",
225,한양재활의학과의원,의원,032-501-2190,21420,"인천광역시 부평구 경인로 1076, (부개동)",
226,부개수성약국,약국,032-713-8992,21401,"인천광역시 부평구 수변로 43, 코스모스빌딩 103,104호 (부개동)",
227,양지약국,약국,466-0477,21539,"인천광역시 남동구 백범로 119, 1층 (만수동)",
228,이삭가정의학과의원,의원,032-511-8020,21401,"인천광역시 부평구 수변로 43, 코스모스빌딩 3층일부, 4층 (부개동)",http://
229,논현그린약국,약국,032-423-8277,21679,"인천광역시 남동구 논고개로 73, (논현동)",
230,바로나은정형외과의원,의원,442-8575,21679,"인천광역시 남동구 논고개로 73, 5층 전체호 (논현동, 라움타워)",
231,센트럴이비인후과의원,의원,439-8582,21679,"인천광역시 남동구 논고개로 73, 3층 301호 (논현동)",
232,365열린약국,약국,032-504-3650,21401,"인천광역시 부평구 부일로 87, (부개동, 송신빌딩)",
233,부평센트럴치과의원,치과의원,032-515-7528,21401,"인천광역시 부평구 부일로 87, 송신빌딩 4층 (부개동)",
